 Reference Number,  Created Date,"Consumer Address, City","Consumer Address, State Code",Company Name,"Company Phone, Area Code","Company Phone, Number","Company Phone, Extension",Complaint Info Initial Contact Method,Complaint Info Product Service Code
28741989,01/04/2011,Waianae,HI,IRS,,,,Phone,2143|9043
28803726,01/10/2011,Marietta,GA,Georgia State IRS,770,9448020,,Phone,9043
28827558,01/12/2011,Fort Worth,TX,IRS,872,4796242,,Phone,2142|9043
28842181,01/13/2011,Orangeburg,SC,IRS,800,8297650,,Phone,9043
28890200,01/19/2011,Morton,MN,IRS|Readers Digest,876|,4355471|,|,Phone,4190|9043
28905333,01/20/2011,Coarsegold,CA,IRS,,,,Mail,9043|2142|9044
28917823,01/21/2011,Montgomery,AL,IRS,876,3650839,,Phone Call: Landline,9043
28920526,01/21/2011,Castle Dale|Castle Dale,UT|,www.irs.gov,,,,Internet/E-mail,9043
28924855,01/21/2011,Mount Vernon,WA,IRS,888,7789006,,Phone,9043
28971668,01/26/2011,|Edwardsburg,MI|MI,IRS|Natalie Vernalfano Camacho,480|,3891417|,|,Phone,9043
28976431,01/27/2011,Matawan|Colchester,NJ|,IRS|International Ticket Office,202|,2414986|,|,Phone Call: Landline,2142|9043
28979279,01/27/2011,Marion,IN,IRS,765,6039807,,Phone,9043
28980777,01/27/2011,San Leandro,CA,IRS,716,2063218,,Phone Call: Landline,9043
28992516,01/28/2011,Collegeville,PA,IRS,206,2598023,,Phone Call: Landline,9043|2142
29058427,02/04/2011,Youngtown,AZ,IRS,876,3105774,,Phone Call: Landline,9043
29097633,02/08/2011,Indianapolis,IN,IRS|Western Union|International Ticketing Office,202|876|,2414987|8665039|,||,Phone,2142|9043
29143971,02/09/2011,Miami,FL,IRS,,,,Phone Call: Mobile/Cell,9043
29209108,02/14/2011,Cleveland,OH,IRS,,,,Phone,9043
29226813,01/23/2011,SALEM,OR,Fake IRS form with virus attched,,,,Internet/E-mail,9043
29242871,02/15/2011,Bozeman,MT,Internal Revenue Service,,,,Internet/E-mail,9043
29282688,02/03/2011,AGUADILLA,,IRS Gov,,,,Unknown,9043
29303507,02/18/2011,Cold Springs,MN,Internal Revenue Service,206,2598843,,Phone,2143|9043
29303648,02/18/2011,,,IRS,800,8293903,,Phone,9043
29329486,02/22/2011,Phoenix,AZ,IRS|Customer Clearing House,876|,2868958|,|,Phone,2143|9043
29332978,02/22/2011,El Cajon,CA,IRS,,,,Internet/E-mail,9043
29333497,02/22/2011,Charlestown,WV,IRS,123,4567898,,Phone Call: Landline,0323|9043
29462127,03/01/2011,Levittown,PA,Internal Revenue Service Imposter,209,2598843,,Phone Call: Landline,2142|9043
29493482,03/02/2011,,,IRS,617,2755972,,Phone,9043
29516169,03/03/2011,Knoxville,TN,IRS,876,4462821,,Phone,2142|9043|4190
29552556,03/04/2011,Westwego,LA,IRS,202,6576780,,Phone,9043
29593072,03/08/2011,Anderson,SC,IRS,800,9723030,,Internet/E-mail,3912|9043
29598762,03/08/2011,Walport,OR,Internal Revenue Service|Unknown,876|619,3939476|6331261,|,Phone Call: Landline,2142|9043
29625890,03/10/2011,Harkston,WA,IRS,800,8291040,,Phone,9043
29665530,03/14/2011,Burnet,TX,Internal Revenue Service,876,8708117,,Phone Call: Landline,2142|9043
29676298,03/15/2011,Hudson,NH,IRS,,,,Internet/E-mail,9043
29712058,03/17/2011,Smithfield,RI,IRS,,,,Internet/E-mail,9043
