 Reference Number,  Created Date,"Consumer Address, City","Consumer Address, State Code",Company Name,"Company Phone, Area Code","Company Phone, Number",Complaint Info Initial Contact Method,Complaint Info Product Service Code
46224518,05/28/2014,Atlanta,ID,IRS,989,9414313,Phone Call: Mobile/Cell,9043
46224526,05/28/2014,Los Angeles,CA,IRS,,,Phone Call: Landline,9043
46224553,05/29/2014,Shaker Heights,OH,IRS,888,8557249,Phone,9043
46224569,05/29/2014,Lakeland,FL,IRS,202,6097049,Phone Call: Landline,9043
46224603,05/29/2014,Encino,CA,IRS,917,3003725,Phone Call: Landline,9043
46224623,05/29/2014,Brooklyn,NY,IRS,571,2863105,Phone,9043
46224647,05/29/2014,Bethel,NC,IRS,202,5627893,Phone Call: Mobile/Cell,9043
46224693,05/29/2014,Baton Rouge,LA,IRS,963,7861617,Phone Call: Mobile/Cell,9043
46224695,05/29/2014,Phoenix,AZ,IRS,888,8557258,Phone Call: Landline,9043
46224725,05/30/2014,Indianapolis,IN,IRS,202,5069142,Phone Call: Landline,9043
46224752,05/30/2014,Edison,NJ,IRS,202,8641214,Phone,9043
46224854,05/30/2014,Crockett,CA,IRS,202,5069319,Phone Call: Mobile/Cell,9043
46224893,05/30/2014,Brooklyn,NY,IRS,202,2414908,Phone Call: Landline,9043
46224894,05/30/2014,Perioa,AL,IRS:FBI,732,3253624,Phone Call: Landline,9043
46224905,05/30/2014,Chappaqua,NY,IRS,585,6331792,Phone Call: Landline,9043
46224949,05/30/2014,Phoenix|Phoenix,AZ|AZ,IRS,202,2411435,Phone Call: Mobile/Cell,9043
46224961,05/30/2014,Maryville,TN,IRS,949,9459464,Phone Call: Mobile/Cell,9043
46224995,05/30/2014,Ellenwood,GA,IRS,202,5069142,Phone,9043
46225063,06/02/2014,McClain|McClain,VA|VA,IRS,202,5068501,Phone Call: Landline,9043
46225094,06/02/2014,Barto,PA,IRS,202,2415251,Phone,9043
46225174,06/02/2014,Ferndale,WA,IRS,202,2411811,Phone Call: Landline,9043
46225234,06/02/2014,Birmingham,AL,IRS,985,5126598,Phone Call: Landline,9043
46225245,06/02/2014,Staten Island,,IRS,202,2410814,Phone Call: Landline,9043
46225265,06/02/2014,Ogdon,UT,IRS,917,6528604,Phone Call: Landline,9043
